streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
142095275,192,50,85,52,11,0,28,6
618885532,163,54,40,67,0,0,9,17
2011464183,122,66,48,71,6,0,12,4
1167330737,154,61,41,74,21,0,40,6
929964809,117,73,31,69,6,0,11,4
436027885,138,78,89,83,10,0,12,5
657723613,96,86,74,80,33,0,8,6
2713922350,104,77,36,63,1,0,36,5
621660989,164,45,24,62,8,0,16,3
1591223784,118,68,61,82,2,0,50,3
950906471,81,68,51,60,3,0,19,10
1593270737,117,82,73,45,54,0,7,3
1410088830,174,45,10,37,97,25,64,4
1235005533,128,73,60,77,3,0,11,4
1661187319,145,60,43,27,94,0,14,4
1374581173,150,65,51,55,73,0,14,3
94186466,90,60,13,53,4,0,21,4
1788326445,85,55,42,53,17,0,22,3
1840364617,180,33,38,71,20,0,28,5
143573775,166,57,84,94,11,0,37,9
684675814,160,71,40,50,16,0,16,22
1113838873,160,65,95,80,5,0,41,16
1267333350,92,70,81,63,4,0,8,4
726307468,170,56,53,64,11,0,45,6
3562543890,96,83,93,65,58,0,9,8
1131090940,120,67,40,52,86,0,12,4
307370144,98,70,37,54,6,0,9,8
1271293243,92,53,12,34,1,0,12,4
265882712,150,34,24,56,4,0,11,3
841749534,94,37,17,47,2,46,11,3
47956378,90,74,36,63,26,0,27,5
806397070,160,54,54,55,67,0,42,11
2132335812,120,70,59,75,24,0,9,4
1641426668,109,63,46,85,1,0,9,5
2135158446,129,57,41,66,63,0,12,5
367316268,157,54,75,60,30,0,7,5
350381515,130,63,49,73,5,0,9,3
1264310836,107,65,19,72,10,0,13,25
30343206,146,50,67,89,0,0,19,8
405136812,139,48,37,41,32,0,10,10
1145727611,116,74,76,70,7,0,13,3
540654286,95,84,52,77,12,0,7,4
57312735,170,62,55,80,15,0,37,7
397582059,134,81,18,64,3,0,10,11
1479115056,84,57,86,90,2,0,9,5
86773632,146,61,20,48,21,0,12,6
133753727,74,53,24,67,11,0,10,28
123124076,144,75,35,48,84,0,10,12
463564958,136,77,79,73,15,0,27,10
64533040,100,56,53,55,53,0,12,4
65496046,105,89,67,78,9,0,7,33
68616963,106,67,24,78,15,0,30,4
161460990,132,85,53,68,40,0,9,4
70106975,120,78,5,30,21,0,13,5
113509496,155,82,51,39,2,0,9,49
89933133,129,70,42,43,78,0,11,3
71007139,135,80,85,74,62,0,8,9
43522589,98,73,45,62,28,0,13,13
232896922,124,84,64,39,3,0,11,4
37126685,135,77,28,55,18,0,22,15
195576623,107,78,39,53,30,0,11,6
532336353,96,54,25,74,14,0,9,11
538115192,123,71,58,70,30,0,32,19
46142772,90,62,7,62,6,0,58,6
401036314,117,72,45,59,14,0,20,21
127026613,133,78,90,84,31,0,7,4
345031710,96,74,61,83,11,0,35,6
288101651,149,66,85,60,40,0,14,13
60350538,110,66,32,40,81,0,11,3
335074782,105,95,62,52,3,0,5,16
76767396,105,80,69,78,28,0,11,14
46065667,134,76,61,58,6,0,16,3
459276435,170,71,59,56,4,0,27,12
39666245,81,59,26,60,46,1,25,13
138517666,154,63,75,92,31,0,91,5
822633917,169,69,69,51,63,0,38,4
595900742,115,78,64,69,4,0,7,14
51985779,84,43,14,74,1,0,19,8
57945987,93,79,58,62,11,0,11,23
115010040,91,82,47,62,10,0,10,15
175097833,142,82,54,44,6,0,33,7
57089066,126,78,20,70,1,0,16,4
488386797,97,73,10,44,26,0,16,8
32761689,101,92,59,51,41,51,26,8
1047480053,98,80,23,48,14,0,6,5
153454328,154,59,63,89,18,0,80,9
217672943,120,91,63,58,52,0,31,22
457184829,150,49,4,55,7,0,6,3
939844851,174,47,27,78,11,0,10,8
726434358,202,34,25,51,69,0,18,4
573633020,153,56,42,52,5,0,36,24
1406111294,142,60,13,37,58,0,13,3
71573339,108,84,55,47,26,0,20,64
24975653,143,83,25,69,4,0,23,12
145458418,108,67,55,67,60,0,80,5
1424589568,104,95,78,66,3,0,4,6
231332117,93,84,96,79,43,0,18,11
415932686,105,65,46,53,16,0,9,5
988515741,170,44,27,32,89,0,14,5
50847624,178,62,56,66,18,0,12,5
39893489,176,50,44,76,10,0,32,5
92035115,104,80,38,88,11,0,11,5
118810253,85,70,83,84,31,0,47,30
77233241,117,77,69,58,39,0,26,5
206399629,80,52,57,48,86,0,15,39
117747907,98,44,36,41,50,0,38,5
266624541,178,79,58,78,34,0,11,25
293186992,148,51,27,33,48,0,22,3
139681964,120,77,94,66,65,0,38,3
123132751,122,68,38,88,1,0,8,5
103762518,144,74,75,73,42,0,9,4
162887075,96,93,47,47,33,0,10,36
91221625,137,77,35,88,16,0,17,9
190490915,121,94,71,61,12,0,53,42
96180277,119,60,10,57,1,0,50,3
185240616,96,72,40,47,71,0,13,4
885093467,111,87,53,52,66,1,11,5
104992946,148,90,74,68,14,0,10,19
147290338,182,57,80,59,8,0,6,5
1302184087,141,79,82,86,28,0,4,9
158950978,145,76,80,81,19,0,6,9
76910644,110,76,26,70,1,0,41,6
137123880,134,70,35,41,41,0,10,3
782369383,130,92,78,62,18,0,6,10
502574952,145,84,88,53,35,0,8,7
207033255,130,69,36,90,1,10,15,4
404887295,173,59,69,53,12,0,23,3
381161027,92,75,55,76,25,0,10,15
466231982,105,56,57,87,0,1,10,4
357580552,175,59,15,64,43,90,12,10
61105704,120,80,33,70,22,0,9,4
198275403,139,70,77,48,37,0,12,5
168448603,132,59,56,82,12,0,12,6
705469769,114,32,17,74,14,0,17,3
34502215,145,54,19,48,36,0,37,5
482175240,110,82,67,69,0,0,18,4
304118600,94,89,61,66,17,0,36,16
1449799467,134,45,17,60,21,0,33,4
173627354,120,62,32,76,0,0,39,4
90025258,123,70,86,68,24,0,11,4
652704649,131,77,84,71,35,0,15,4
1829992958,171,70,6,73,1,0,36,26
655466831,130,80,64,76,2,0,20,6
146409671,94,82,53,67,34,0,9,8
95816024,89,73,44,57,39,0,32,6
117206995,87,65,71,56,4,0,15,20
100409613,124,72,79,78,55,0,15,30
80758350,78,71,80,65,51,0,22,32
325592432,120,70,70,79,7,0,18,10
58473276,96,48,50,80,40,0,37,20
52722996,106,73,22,86,31,0,12,4
191945597,170,78,75,46,62,0,12,35
77377503,134,67,11,76,8,47,30,7
743693613,115,71,90,73,30,0,11,5
267789608,130,74,79,87,45,0,30,3
1221813483,118,65,63,79,3,0,10,3
449701773,110,59,22,38,42,0,12,3
67070410,100,72,42,66,18,4,19,4
116334601,142,70,76,79,26,0,11,7
433356509,140,64,18,37,72,0,12,7
165584767,116,90,96,73,62,0,9,4
367814306,120,73,64,85,25,0,61,3
477033549,92,76,46,79,31,0,7,6
156214700,110,81,64,79,5,0,31,3
448843705,120,71,57,97,1,0,13,11
1357608774,80,63,40,61,9,0,56,6
294352144,115,95,43,69,47,0,9,31
972164968,76,58,46,67,65,0,13,4
920045682,172,60,77,78,45,0,12,6
2420461338,99,40,45,56,69,0,9,5
1947371785,136,36,12,57,9,0,14,8
244658767,150,90,64,14,67,35,11,10
68216992,92,71,41,31,79,0,10,5
223582566,95,77,72,87,17,0,7,5
471819764,102,83,58,83,21,0,10,5
272377463,145,70,34,55,43,0,16,6
1361425037,110,50,24,86,0,0,64,4
149778242,95,64,30,77,46,0,38,6
116599790,94,68,81,82,53,0,9,13
148469433,142,61,92,91,0,0,26,3
497225336,145,59,20,74,1,0,15,5
88791109,121,64,67,80,0,0,36,3
125917280,140,66,43,76,49,0,12,3
105062254,137,84,44,67,8,0,11,6
95623148,104,56,72,85,0,0,15,3
144584800,92,57,68,76,7,0,33,3
298063749,146,74,51,45,86,0,21,38
166570053,120,56,20,43,89,0,12,4
83021468,144,68,83,81,9,0,8,4
139836056,94,59,44,56,80,0,6,3
303216294,94,73,65,79,5,2,11,6
221409663,113,79,66,74,8,0,11,5
58890931,148,50,49,76,12,0,12,3
81419389,98,70,29,73,12,0,11,26
156777415,140,58,26,38,91,0,10,4
284908316,100,36,28,28,81,0,18,3
93438910,140,86,68,79,39,0,11,29
363472647,100,59,78,94,27,0,29,23
372476382,100,59,49,65,2,0,13,3
380726517,132,87,82,70,42,0,21,5
56533272,142,49,48,67,10,0,26,3
175399345,176,72,96,63,25,0,21,7
203221468,140,53,51,70,49,0,14,3
1624165576,105,55,40,90,1,0,32,6
134294498,135,81,97,77,75,0,35,3
70069745,128,82,61,59,30,0,12,4
609293408,101,74,43,69,12,0,12,7
671365962,122,88,43,50,7,0,14,5
362361576,105,76,49,56,80,12,10,13
93587665,83,53,40,36,73,0,11,33
1223481149,77,72,59,76,24,0,42,28
1022258230,140,75,18,25,78,0,11,26
263453310,158,65,72,95,31,0,92,5
1435127549,176,75,43,65,15,0,11,32
236857112,98,73,88,57,56,0,5,2
147538971,107,66,47,40,72,0,11,3
698086140,109,66,16,57,10,1,12,3
723894473,109,84,72,74,10,0,34,7
34450974,148,53,61,81,5,0,36,4
403097450,158,60,52,76,17,0,19,5
309483971,94,74,64,73,6,0,10,6
319566866,96,70,40,51,35,0,10,4
909001996,100,80,29,67,29,0,12,3
1061966512,105,58,42,68,1,0,14,4
32526947,125,53,32,66,38,0,9,3
124988687,170,56,56,63,13,0,19,27
103787664,115,70,84,90,17,0,41,6
134255790,122,64,25,89,0,0,15,9
301051721,105,88,82,80,8,0,11,8
156338624,133,66,74,84,25,0,21,4
152850295,100,79,60,68,7,0,26,4
309653982,120,82,55,45,15,3,9,10
297328960,177,25,17,30,90,0,13,3
332506354,142,64,31,72,15,0,9,5
480507035,144,57,47,84,1,1,52,4
1065580332,120,65,80,86,9,0,19,10
122763672,135,92,73,51,55,0,15,6
445763624,107,81,82,78,38,0,12,4
1365184,105,82,62,74,10,0,33,7
184308753,108,44,38,77,9,0,9,20
789753877,147,51,62,79,22,13,14,3
323358833,115,71,34,88,16,0,44,4
606361689,174,70,57,64,23,0,8,32
120972253,90,68,83,71,3,0,31,8
338564981,141,41,9,25,84,1,14,4
1606986953,82,68,50,49,56,0,8,4
1301799902,92,47,25,43,62,0,32,3
140187018,116,77,65,80,6,0,15,4
1897517891,124,79,59,86,4,0,8,11
107642809,125,71,83,89,1,0,17,9
551305895,90,80,71,69,2,0,27,10
556585270,83,46,34,64,31,0,7,34
2303033973,124,79,68,79,1,0,10,8
646886885,140,58,4,60,7,41,8,3
222612678,154,64,61,91,15,0,72,4
1814349763,150,74,89,70,2,0,5,6
872137015,186,41,9,61,2,0,12,5
571386359,166,40,23,48,5,0,12,3
304079786,107,87,20,83,0,4,31,9
174006928,87,87,52,52,31,0,28,24
284785823,82,40,39,64,21,0,7,7
163284000,114,46,60,28,91,0,21,4
246390068,148,47,15,52,38,13,29,5
482257456,140,91,97,57,38,0,40,29
168684524,101,90,76,81,15,24,33,6
78489819,140,81,6,84,5,23,6,6
195516622,88,49,24,66,19,0,18,29
1260594497,180,64,44,65,28,0,14,12
428685680,133,95,91,89,6,0,31,24
1024858327,108,63,20,55,72,0,6,6
838586769,80,39,24,43,39,0,23,3
199386237,75,80,46,62,3,6,11,46
972509632,121,67,26,64,52,0,17,10
213438580,140,58,17,62,18,0,20,8
1555511105,126,81,59,90,5,0,36,3
210038833,102,58,29,94,0,0,9,11
227918678,82,70,31,34,60,1,11,4
826623384,121,46,53,78,23,0,72,6
1802514301,103,70,92,83,1,0,7,6
1329090101,108,82,88,76,9,0,12,9
181831132,85,65,36,47,31,0,12,10
462791599,125,84,70,69,1,0,5,5
348647203,120,69,40,39,41,0,13,6
366599607,94,58,44,57,57,0,10,3
90598517,130,65,49,80,22,4,7,5
1479264469,110,74,51,74,2,0,29,4
1449779435,150,34,33,63,16,0,7,4
1159176109,107,74,88,65,28,0,46,3
769213520,140,70,85,41,71,0,45,5
741301563,119,74,78,37,84,0,6,3
807561936,93,35,38,23,91,0,29,3
834129063,133,46,53,63,5,0,30,18
663832097,202,24,76,60,77,0,12,4
446390129,134,45,72,24,91,0,18,4
690104769,105,72,33,51,48,0,9,3
485285717,160,51,69,81,0,0,21,5
520034544,148,50,96,82,47,0,34,4
